[24-11-01 12:21:04] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:21:04] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:21:19] 101    -7047.26 [    49998.8  117337.2   99270.9   17402.1 ]
[24-11-01 12:21:19] 102    -7047.27 [    49998.8  118036.8   99270.9   17402.1 ]
[24-11-01 12:21:19] 103    -7047.24 [    49998.8  117687.0   99270.9   17402.1 ]
[24-11-01 12:21:19] 104    -7047.23 [    49998.8  117687.0   99271.9   17402.1 ]
[24-11-01 12:21:19] 105    -7047.23 [    49998.8  117687.0   99273.5   17402.1 ]
[24-11-01 12:21:19] 106    -7047.07 [    49998.8  117687.0   99449.9   17402.1 ]
[24-11-01 12:21:20] 111    -7046.71 [    49998.8  117687.0   99859.1   17402.1 ]
[24-11-01 12:21:20] 112    -7046.89 [    49998.8  117687.0   99654.5   17402.1 ]
[24-11-01 12:21:20] 114    -7046.62 [    49998.8  117687.0   99955.7   17402.1 ]
[24-11-01 12:21:20] 116    -7046.66 [    49998.8  117687.0   99918.8   17402.1 ]
[24-11-01 12:21:20] 117     -7046.6 [    49998.8  117687.0   99978.5   17402.1 ]
[24-11-01 12:21:20] 118    -7046.59 [    49998.8  117687.0   99992.6   17402.1 ]
[24-11-01 12:21:21] 120    -7046.59 [    49998.8  117687.0   99992.6   17402.1 ]
[24-11-01 12:21:21] 121    -7046.47 [    49998.8  117687.0   99992.6   17403.1 ]
[24-11-01 12:21:21] 122    -7046.27 [    49998.8  117687.0   99992.6   17404.7 ]
[24-11-01 12:21:21] 123    -7025.44 [    49998.8  117687.0   99992.6   17581.1 ]
[24-11-01 12:21:21] 124    -6797.15 [    49998.8  117687.0   99992.6   20773.6 ]
[24-11-01 12:21:21] 125    -6749.36 [    49998.8  117687.0   99992.6   25939.1 ]
[24-11-01 12:21:22] 126    -6740.39 [    49998.8  117687.0   99992.6   23977.3 ]
[24-11-01 12:21:22] 127    -6748.97 [    49998.8  117687.0   99992.6   22753.6 ]
[24-11-01 12:21:22] 128     -6741.0 [    49998.8  117687.0   99992.6   24726.7 ]
[24-11-01 12:21:22] 129    -6740.16 [    49998.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:22] 130    -6740.16 [    49998.8  117687.0   99992.6   24181.5 ]
[24-11-01 12:21:22] 131    -6740.18 [    49998.8  117687.0   99992.6   24318.5 ]
[24-11-01 12:21:23] 133    -6740.16 [    49998.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 134    -6739.99 [    49999.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 137    -6740.05 [    49999.4  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 138    -6740.02 [    49999.6  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 140    -6739.97 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 141    -6739.96 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 142    -6739.96 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 143    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 144    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 145    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 146    -6739.93 [    50000.0  117688.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 147     -6739.9 [    50000.0  117689.6   99992.6   24250.0 ]
[24-11-01 12:21:25] 148    -6736.88 [    50000.0  117866.0   99992.6   24250.0 ]
[24-11-01 12:21:25] 149     -6460.0 [    50000.0  137089.9   99992.6   24250.0 ]
[24-11-01 12:21:25] 150    -6204.14 [    50000.0  178378.3   99992.6   24250.0 ]
[24-11-01 12:21:25] 151    -6679.26 [    50000.0  245184.5   99992.6   24250.0 ]
[24-11-01 12:21:25] 152    -6262.79 [    50000.0  203896.0   99992.6   24250.0 ]
[24-11-01 12:21:25] 153    -6249.06 [    50000.0  162607.5   99992.6   24250.0 ]
[24-11-01 12:21:26] 154    -6202.73 [    50000.0  181917.9   99992.6   24250.0 ]
[24-11-01 12:21:26] 155    -6202.75 [    50000.0  181275.6   99992.6   24250.0 ]
[24-11-01 12:21:26] 156    -6202.81 [    50000.0  182560.3   99992.6   24250.0 ]
[24-11-01 12:21:26] 157    -6202.73 [    50000.0  181917.9   99992.6   24250.0 ]
[24-11-01 12:21:26] 158    -6202.73 [    50000.0  181917.9   99993.6   24250.0 ]
[24-11-01 12:21:26] 159    -6202.72 [    50000.0  181917.9   99995.2   24250.0 ]
[24-11-01 12:21:27] 164    -6202.72 [    50000.0  181917.9   99999.0   24250.0 ]
[24-11-01 12:21:27] 165    -6202.72 [    50000.0  181917.9   99997.1   24250.0 ]
[24-11-01 12:21:27] 167    -6202.72 [    50000.0  181917.9   99999.8   24250.0 ]
[24-11-01 12:21:27] 169    -6202.72 [    50000.0  181917.9   99999.5   24250.0 ]
[24-11-01 12:21:27] 171    -6202.72 [    50000.0  181917.9   99999.7   24250.0 ]
[24-11-01 12:21:27] 172    -6202.72 [    50000.0  181917.9   99999.9   24250.0 ]
[24-11-01 12:21:28] 173    -6202.72 [    50000.0  181917.9   99999.9   24250.0 ]
[24-11-01 12:21:28] 174     -6202.6 [    50000.0  181917.9   99999.9   24251.0 ]
[24-11-01 12:21:28] 175    -6202.39 [    50000.0  181917.9   99999.9   24252.6 ]
[24-11-01 12:21:28] 176    -6180.78 [    50000.0  181917.9   99999.9   24429.0 ]
[24-11-01 12:21:28] 177    -5807.75 [    50000.0  181917.9   99999.9   29382.5 ]
[24-11-01 12:21:28] 178    -5703.27 [    50000.0  181917.9   99999.9   37397.3 ]
[24-11-01 12:21:29] 179    -5700.42 [    50000.0  181917.9   99999.9   34747.4 ]
[24-11-01 12:21:29] 180    -5719.03 [    50000.0  181917.9   99999.9   32698.2 ]
[24-11-01 12:21:29] 181    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:29] 182    -5698.49 [    50000.0  181917.9   99999.9   35644.5 ]
[24-11-01 12:21:29] 183    -5698.51 [    50000.0  181917.9   99999.9   35874.6 ]
[24-11-01 12:21:29] 185    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 187     -5698.7 [    49998.4  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 188    -5698.56 [    49999.4  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 190    -5698.52 [    49999.7  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 192    -5698.49 [    49999.9  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 194    -5698.48 [    49999.9  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 196    -5698.48 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 197    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 198    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 199    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 200    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:31] 201    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 203    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 204    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 205    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 206    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 207    -5698.46 [    50000.0  181918.9   99999.9   35759.6 ]
[24-11-01 12:21:32] 208    -5698.43 [    50000.0  181920.6   99999.9   35759.6 ]
[24-11-01 12:21:33] 209    -5695.74 [    50000.0  182096.9   99999.9   35759.6 ]
[24-11-01 12:21:33] 210    -5427.23 [    50000.0  201320.8   99999.9   35759.6 ]
[24-11-01 12:21:33] 212    -5058.88 [    50000.0  236980.2   99999.9   35759.6 ]
[24-11-01 12:21:33] 214    -5222.33 [    50000.0  219150.5   99999.9   35759.6 ]
[24-11-01 12:21:33] 215    -4995.82 [    50000.0  245398.2   99999.9   35759.6 ]
[24-11-01 12:21:33] 217    -5018.85 [    50000.0  242182.8   99999.9   35759.6 ]
[24-11-01 12:21:33] 218    -4982.24 [    50000.0  247385.4   99999.9   35759.6 ]
[24-11-01 12:21:34] 219     -4974.1 [    50000.0  248613.6   99999.9   35759.6 ]
[24-11-01 12:21:34] 220    -4969.16 [    50000.0  249372.7   99999.9   35759.6 ]
[24-11-01 12:21:34] 221    -4969.16 [    50000.0  249372.7   99999.9   35759.6 ]
[24-11-01 12:21:34] 223    -4969.16 [    50000.0  249372.7   99998.3   35759.6 ]
[24-11-01 12:21:34] 224    -4969.16 [    50000.0  249372.7   99999.3   35759.6 ]
[24-11-01 12:21:34] 226    -4969.16 [    50000.0  249372.7   99999.6   35759.6 ]
[24-11-01 12:21:35] 228    -4969.16 [    50000.0  249372.7   99999.8   35759.6 ]
[24-11-01 12:21:35] 229    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:35] 231    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:35] 232    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:35] 234    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:35] 236    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:36] 237    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:36] 238    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:36] 239    -4969.16 [    50000.0  249372.7  100000.0   35759.6 ]
[24-11-01 12:21:36] 240     -4969.1 [    50000.0  249372.7  100000.0   35760.6 ]
[24-11-01 12:21:36] 241    -4969.01 [    50000.0  249372.7  100000.0   35762.2 ]
[24-11-01 12:21:36] 242    -4959.28 [    50000.0  249372.7  100000.0   35938.5 ]
[24-11-01 12:21:37] 243    -4767.78 [    50000.0  249372.7  100000.0   41734.4 ]
[24-11-01 12:21:37] 244    -4756.03 [    50000.0  249372.7  100000.0   51112.2 ]
[24-11-01 12:21:37] 245    -4732.96 [    50000.0  249372.7  100000.0   46722.5 ]
[24-11-01 12:21:37] 246    -4736.61 [    50000.0  249372.7  100000.0   44817.2 ]
[24-11-01 12:21:37] 247    -4737.31 [    50000.0  249372.7  100000.0   48399.2 ]
[24-11-01 12:21:37] 248    -4732.89 [    50000.0  249372.7  100000.0   46530.1 ]
[24-11-01 12:21:37] 249    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:38] 250    -4732.91 [    50000.0  249372.7  100000.0   46315.7 ]
[24-11-01 12:21:38] 252    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:38] 254    -4733.06 [    49998.4  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:38] 255    -4732.95 [    49999.4  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:38] 257    -4732.92 [    49999.7  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:38] 259     -4732.9 [    49999.9  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 261    -4732.89 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 263    -4732.89 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 265    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 267    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 269    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 271    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:39] 273    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 275    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 277    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 278    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 280    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 282    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:40] 284    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 285    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 286    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 288    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 289    -4732.88 [    50000.0  249372.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 290    -4732.87 [    50000.0  249373.7  100000.0   46422.4 ]
[24-11-01 12:21:41] 291    -4732.85 [    50000.0  249375.3  100000.0   46422.4 ]
[24-11-01 12:21:41] 292     -4730.5 [    50000.0  249551.7  100000.0   46422.4 ]
[24-11-01 12:21:42] 297    -4725.05 [    50000.0  249960.9  100000.0   46422.4 ]
[24-11-01 12:21:42] 298    -4727.77 [    50000.0  249756.3  100000.0   46422.4 ]
