0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.010    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.009    0.009 linalg.py:1(<module>)
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.003    0.003    0.009    0.009 sample_sets.py:121(get_multi_sample_variant_idx)
     2542    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
        1    0.000    0.000    0.009    0.009 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.008    0.008 font_manager.py:970(json_load)
        1    0.000    0.000    0.008    0.008 __init__.py:274(load)
      354    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
      578    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
    95935    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
      278    0.002    0.000    0.008    0.000 overrides.py:83(verify_matching_signatures)
  421/349    0.000    0.000    0.008    0.000 typing.py:338(inner)
        1    0.000    0.000    0.008    0.008 Image.py:1(<module>)
       94    0.001    0.000    0.008    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.008    0.008 __init__.py:299(loads)
        1    0.000    0.000    0.008    0.008 decoder.py:332(decode)
        1    0.003    0.003    0.008    0.008 decoder.py:343(raw_decode)
 1082/209    0.004    0.000    0.008    0.000 _compiler.py:37(_compile)
        1    0.001    0.001    0.008    0.008 defchararray.py:1(<module>)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _methods.py:1(<module>)
      954    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
     1248    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      782    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      105    0.002    0.000    0.007    0.000 artist.py:170(<listcomp>)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
    47263    0.007    0.000    0.007    0.000 fromnumeric.py:1328(_searchsorted_dispatcher)
    27/22    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.007    0.007 _add_newdocs.py:1(<module>)
    27/22    0.002    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
     4252    0.003    0.000    0.006    0.000 artist.py:1555(aliased_name)
