[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:34:28] 92    -59538.12 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  4.48e-05 ]
[24-11-05 14:34:28] 94    -34122.09 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  2.24e-05 ]
[24-11-05 14:34:29] 96    -24058.67 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  1.38e-05 ]
[24-11-05 14:34:30] 97    -22389.89 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  6.64e-06 ]
[24-11-05 14:34:31] 98    -21590.06 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  9.28e-06 ]
[24-11-05 14:34:32] 99    -21574.43 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:33] 100   -21574.43 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:34] 101   -21574.43 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.93e-06 ]
[24-11-05 14:34:35] 103   -21574.43 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:35] 104   -21570.76 [     9645.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:37] 105   -21564.82 [     9647.1   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:38] 106   -20924.83 [     9823.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:39] 107   -14915.53 [    17857.3   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:41] 108   -211085.7 [    30856.2   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:42] 109   -48866.97 [    22822.4   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:43] 110   -10583.31 [    14788.6   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:45] 111   -10606.18 [    15277.8   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:46] 112   -10565.06 [    14989.1   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:47] 113   -10566.23 [    14935.6   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:49] 114   -10566.61 [    15042.5   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:50] 115   -10565.06 [    14989.1   10868.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:51] 116   -10564.11 [    14989.1   10869.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:53] 117   -10562.57 [    14989.1   10871.1  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:54] 118   -10399.09 [    14989.1   11047.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:55] 119    -8430.72 [    14989.1   14375.6  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:57] 120    -7329.33 [    14989.1   19760.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:58] 121    -7369.79 [    14989.1   19371.0  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:34:59] 122     -7006.5 [    14989.1   28473.6  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:00] 123    -7032.97 [    14989.1   25676.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:02] 124    -7160.47 [    14989.1   42571.6  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:03] 125    -7035.07 [    14989.1   33858.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:04] 126    -7043.39 [    14989.1   25145.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:04] 127    -7006.22 [    14989.1   29756.1  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:05] 128    -7005.62 [    14989.1   29194.8  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:06] 129    -7005.66 [    14989.1   29011.5  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:06] 130     -7005.7 [    14989.1   29378.1  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:07] 131    -7005.62 [    14989.1   29194.8  715769.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:08] 132    -7005.62 [    14989.1   29194.8  715770.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:08] 133    -7005.62 [    14989.1   29194.8  715772.6     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:09] 134    -7005.23 [    14989.1   29194.8  715948.9     973.9    2965.8   27009.1   31683.1  8.94e-06 ]
