[24-11-01 23:54:13] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 23:54:13] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 23:57:01] 135    -4419.48 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:57:03] 136    -4419.48 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:57:04] 143   -28487.75 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  7.04e-03  1.23e-05 ]
[24-11-01 23:57:05] 144   -27084.54 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  3.56e-03  1.23e-05 ]
[24-11-01 23:57:07] 149   -23023.13 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  1.41e-03  1.23e-05 ]
[24-11-01 23:57:08] 151   -15613.04 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  5.85e-04  1.23e-05 ]
[24-11-01 23:57:10] 153    -8487.01 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  2.71e-04  1.23e-05 ]
[24-11-01 23:57:11] 155    -5422.04 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  1.51e-04  1.23e-05 ]
[24-11-01 23:57:13] 156    -5566.85 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  5.25e-06  1.23e-05 ]
[24-11-01 23:57:14] 157    -4432.14 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  8.07e-05  1.23e-05 ]
[24-11-01 23:57:15] 158    -4411.52 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.61e-05  1.23e-05 ]
[24-11-01 23:57:17] 159    -4580.36 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  4.29e-05  1.23e-05 ]
[24-11-01 23:57:18] 160    -4408.49 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  1.23e-05 ]
[24-11-01 23:57:20] 161    -4408.49 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04    7.e-05  1.23e-05 ]
[24-11-01 23:57:21] 162    -4408.49 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.98e-05  1.23e-05 ]
[24-11-01 23:57:23] 163    -4408.49 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  1.23e-05 ]
[24-11-01 23:57:24] 170  -1008597.79 [    49825.0  653939.5    2499.5    3334.9  162484.2    1225.6  124709.6     999.6    1189.6  1.09e-04  6.99e-05  6.98e-03 ]
