[24-11-05 11:25:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:25:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:26:41] 102   -15282.73 [   670331.6    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:41] 103   -15272.99 [   670507.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:42] 104   -14561.67 [   689731.8    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:43] 105   -14467.72 [   699804.4    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:43] 106   -14725.11 [   716102.1    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:44] 107   -14506.12 [   706029.5    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:45] 108   -14480.88 [   695957.0    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:45] 109   -14467.73 [   699509.6    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:46] 110   -14467.87 [   700099.1    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:47] 111   -14467.72 [   699804.4    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:47] 112   -14467.26 [   699804.4    9184.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:48] 113   -14466.52 [   699804.4    9186.3  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:49] 114    -14389.4 [   699804.4    9362.6  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:49] 115   -13908.15 [   699804.4   11187.6  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:50] 116   -13779.23 [   699804.4   14140.4  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
