[24-11-05 14:46:12] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:46:12] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:48:09] 118   -11552.92 [    14003.5    9713.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:10] 119   -11552.34 [    14003.5    9715.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:11] 120   -11490.51 [    14003.5    9891.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:13] 121   -10606.15 [    14003.5   13733.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:14] 122    -9996.37 [    14003.5   19950.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:15] 123    -9958.77 [    14003.5   20577.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:16] 124    -9903.37 [    14003.5   21591.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:18] 125    -9621.74 [    14003.5   29417.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:19] 126    -9411.15 [    14003.5   42081.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:20] 127    -9385.59 [    14003.5   44553.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:22] 128    -9350.36 [    14003.5   48552.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:23] 129    -9254.34 [    14003.5   65148.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:24] 130    -9177.07 [    14003.5   92002.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:25] 131    -9162.46 [    14003.5  100076.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:27] 132    -9143.49 [    14003.5  113139.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:28] 133    -9108.96 [    14003.5  149477.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:29] 134    -9079.46 [    14003.5  208274.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:31] 135     -9071.9 [    14003.5  232080.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:32] 136    -9062.56 [    14003.5  270601.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:33] 137    -9049.71 [    14003.5  351901.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:34] 138     -9038.2 [    14003.5  483446.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:36] 139    -9034.54 [    14003.5  549267.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:37] 140     -9030.2 [    14003.5  655768.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:38] 141     -9025.3 [    14003.5  840429.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:40] 142    -9020.76 [    14003.5 1139218.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:41] 143    -9019.06 [    14003.5 1313833.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:42] 144    -9017.11 [    14003.5 1596368.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:43] 145    -9015.21 [    14003.5 2020789.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:45] 146     -9013.4 [    14003.5 2707516.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:46] 147    -9012.64 [    14003.5 3158388.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:47] 148    -9011.79 [    14003.5 3887914.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:48:49] 149    -9011.04 [    14003.5 4872941.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
