[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:40:50] 100    -4977.82 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:51] 101    -4977.89 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.07e-06 ]
[24-11-05 11:40:52] 103    -4977.82 [   661955.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:53] 104    -4977.76 [   661956.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:55] 105    -4977.67 [   661958.4    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:56] 106    -4967.94 [   662134.8    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:57] 107    -4780.11 [   668957.0    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:58] 108    -5234.66 [   679995.7    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:40:59] 109    -4844.87 [   673173.4    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:01] 110    -4808.73 [   666351.2    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:02] 111    -4780.06 [   669076.3    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:03] 112    -4780.08 [   669147.5    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:04] 113    -4780.06 [   669076.3    6384.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:06] 114    -4779.89 [   669076.3    6385.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:07] 115    -4779.62 [   669076.3    6387.6  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:08] 116    -4754.03 [   669076.3    6563.9  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:09] 117    -4722.61 [   669076.3    6997.5  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:11] 118    -4740.08 [   669076.3    7699.1  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:12] 119    -4721.05 [   669076.3    7265.5  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:13] 120    -4725.52 [   669076.3    7431.1  626781.9    1939.5    2798.4   20871.8   24302.7  9.06e-06 ]
